    8 331
         171   204.807471832453     
    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    2.9446000000E-03    1.3976771985E-04    1.0277428358E-07    4.9849223383E-05   -1.1995252927E-06
    5.8908000000E-03    5.5458149884E-04    7.1139034311E-07    1.7392120988E-04   -6.7807717715E-06
    8.8402000000E-03    1.2393568635E-03    2.5901735055E-06    3.4012806979E-04   -2.0379859097E-05
    1.1794200000E-02    2.1831658104E-03    6.7633066895E-06    5.2797826429E-04   -4.5855758611E-05
    1.4754600000E-02    3.3603772384E-03    1.3974014411E-05    7.2378144080E-04   -8.5662941050E-05
    1.7722800000E-02    4.7278495469E-03    2.5013230306E-05    9.1985427595E-04   -1.4127381387E-04
    2.0700400000E-02    6.2277484349E-03    4.0137085650E-05    1.1111588863E-03   -2.1202591242E-04
    2.3689000000E-02    7.7948453889E-03    5.9855341670E-05    1.2959666981E-03   -2.9655439688E-04
    2.6690300000E-02    9.3641505077E-03    8.4056134918E-05    1.4730250849E-03   -3.9190150019E-04
    2.9705800000E-02    1.0878219205E-02    1.1311638471E-04    1.6428568235E-03   -4.9538776034E-04
    3.2737100000E-02    1.2290530694E-02    1.4670904862E-04    1.8053907208E-03   -6.0348876981E-04
    3.5785800000E-02    1.3568139977E-02    1.8515899346E-04    1.9615923355E-03   -7.1373025283E-04
    3.8853600000E-02    1.4690023413E-02    2.2799795151E-04    2.1114486901E-03   -8.2316609921E-04
    4.1942100000E-02    1.5647027933E-02    2.7550614350E-04    2.2556999967E-03   -9.3023984464E-04
    4.5052900000E-02    1.6437880573E-02    3.2710008755E-04    2.3940905011E-03   -1.0329399304E-03
    4.8187800000E-02    1.7069021906E-02    3.8299789019E-04    2.5270655046E-03   -1.1306803486E-03
    5.1348200000E-02    1.7550168926E-02    4.4251755098E-04    2.6542116387E-03   -1.2222683750E-03
    5.4536100000E-02    1.7895145939E-02    5.0580695663E-04    2.7758469925E-03   -1.3078360791E-03
    5.7752900000E-02    1.8117672177E-02    5.7211144797E-04    2.8915794968E-03   -1.3867411573E-03
    6.1000600000E-02    1.8233344076E-02    6.4151925033E-04    3.0017326046E-03   -1.4595382446E-03
